lambda,alpha,method,repetitions,coverage_mean,coverage_se,coverage_ci_lower,coverage_ci_upper,coverage_simultaneous_lower,coverage_simultaneous_upper,finite_radius_mean,finite_radius_median_mean,infinite_radius_rate_mean,ess_mean,exact_tv_mean,exact_l1_mean,population_logistic_regret_mean,classifier_l1_bound_mean,exact_tv_lower_bound_mean,classifier_lower_bound_mean,coverage_minus_tv_bound_mean
0.5,0.1,estimated_ratio_clipped,50,0.9058320000000001,0.0032689328471511426,0.8992628334985268,0.9124011665014734,0.8944338821298059,0.9172301178701943,1.241161353441477,1.2417535543441773,0.0,365.8309265216692,0.007112560142430046,0.01619812332505647,5.337537827012601e-05,0.17560408455572585,0.8928874398575698,0.7243959154442743,0.012944560142430077
0.5,0.1,oracle_ratio,50,0.904802,0.0033493008591194014,0.898071327931818,0.911532672068182,0.8931236548763749,0.9164803451236251,1.2400802748019695,1.2402029156684875,0.0,367.0784025340846,8.456776945386936e-18,0.0,0.0,0.0,0.9,0.9,0.004801999999999973
0.5,0.1,unweighted,50,0.8162579999999999,0.003276538853293648,0.8096735486569292,0.8228424513430707,0.8048333615010296,0.8276826384989703,1.0932881093025208,1.0932881093025208,0.0,500.0,0.2461486533257376,0.4922973066514754,0.0403959609724895,5.68478396933354,0.6538513466742625,-4.7847839693335406,0.16240665332573762
0.5,0.2,estimated_ratio,50,0.8037059999999999,0.003959567498542008,0.7957489512051882,0.8116630487948117,0.7898997766318131,0.8175122233681867,1.0697670230863094,1.0694683825969695,0.0,365.8309265216692,0.007112560142430046,0.01619812332505647,5.3375378270125885e-05,0.17560408455572513,0.7928874398575699,0.6243959154442748,0.010818560142430059
0.5,0.2,estimated_ratio_clipped,50,0.8037059999999999,0.003959567498542008,0.7957489512051882,0.8116630487948117,0.7898997766318131,0.8175122233681867,1.0697670230863094,1.0694683825969695,0.0,365.8309265216692,0.007112560142430046,0.01619812332505647,5.337537827012601e-05,0.17560408455572585,0.7928874398575699,0.6243959154442742,0.010818560142430059
0.5,0.2,oracle_ratio,50,0.803398,0.003991951586553595,0.795375872943843,0.8114201270561568,0.78947885976581,0.8173171402341899,1.0697860389738083,1.0688647663593291,0.0,367.0784025340846,8.456776945386936e-18,0.0,0.0,0.0,0.7999999999999998,0.7999999999999998,0.0033979999999999523
0.5,0.2,unweighted,50,0.670134,0.0039101569570250535,0.6622762454058738,0.6779917545941262,0.6565000613505804,0.6837679386494196,0.9417836701869965,0.9417836701869965,0.0,500.0,0.2461486533257376,0.4922973066514754,0.0403959609724895,5.68478396933354,0.5538513466742624,-4.884783969333541,0.11628265332573762
1.0,0.05,estimated_ratio,50,0.9625819999999998,0.0032340758261023483,0.9560828813048663,0.9690811186951334,0.9513054216208553,0.9738585783791444,1.314894167140007,1.3148378682136537,0.0,175.07375980367928,0.007618061017859406,0.02352512726795364,7.397046936404726e-05,0.21263629863834305,0.9423819389821406,0.7373637013616569,0.020200061017859504
1.0,0.05,estimated_ratio_clipped,50,0.957192,0.0029966073878195474,0.9511700919980394,0.9632139080019607,0.9467434267762251,0.967640573223775,1.306691026624441,1.3056836342811584,0.0,191.04264154318906,0.03168952405150699,0.054580423626153056,0.000470566831477394,0.6123119090978055,0.9183104759484929,0.33768809090219437,0.038881524051507084
1.0,0.05,oracle_ratio,50,0.962672,0.003095189209870369,0.9564519844096149,0.9688920155903851,0.9518796915940927,0.9734643084059073,1.3151897897045612,1.3150561261177063,0.0,175.03424135333253,4.3368086899420185e-18,0.0,0.0,0.0,0.9500000000000002,0.9500000000000002,0.012672000000000048
