sample_id,episode_id,task,relative_h5_path,context_indices,target_index,current_state,context_action,action,translation_action_norm,rotation_action_norm,gripper_action_abs,score
480e88101b68189fd27deb12,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[160, 168]",176,"[0.6257600632382092, -0.22182745772291718, 0.2588770356283557, 2.8280935287475586, 0.3587023913860321, 0.8335811495780945, -1.0518466542208671e-08]","[-0.005697759440128625, 0.014734347935764613, 0.027486408436581677, 0.020788101597534022, 0.04323680248474937, -0.017422603537726723, -0.20704847924849556]","[-0.019226127841414642, 0.0778340406959312, 0.06054548989002989, 0.21535208876197603, 0.1388200938812565, -0.01297721162094373, 0.0]",0.10046660255455046,0.2565461919826557,0.0,1.1501529216766357
ccd65ee1bd1d114570730304,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[168, 176]",184,"[0.6065339353967946, -0.14399341702698598, 0.31942252551838557, 3.0858500003814697, 0.28383535146713257, 0.8874316811561584, -1.0518466542208671e-08]","[-0.019226127841414642, 0.0778340406959312, 0.06054548989002989, 0.21535208876197603, 0.1388200938812565, -0.01297721162094373, 0.0]","[-0.035815134337014554, 0.11661624132406356, 0.07489562959767249, 0.20780744231491766, 0.1139631285720879, 0.016397170618300233, 0.0]",0.14314826901140784,0.23757187325037388,0.0,1.257892370223999
a5cb57f7c9df8d701c716164,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[176, 184]",192,"[0.57071880105978, -0.027377175702922422, 0.39431815511605806, -2.973900079727173, 0.18971170485019684, 0.9446080327033997, -1.0518466542208671e-08]","[-0.035815134337014554, 0.11661624132406356, 0.07489562959767249, 0.20780744231491766, 0.1139631285720879, 0.016397170618300233, 0.0]","[-0.008825381252946407, 0.0422401357423512, 0.027300865828941256, 0.02223154034083679, -0.02702200498106322, 0.05628716308063111, 0.0440529164145973]",0.05106323233797451,0.06627725753822665,0.0440529164145973,0.98867267370224
379dc72893656da0dd16b4b1,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[184, 192]",200,"[0.5618934198068336, 0.014862960039428776, 0.4216190209449993, -2.9828782081604004, 0.15585769712924957, 0.9996517896652222, 0.044052905896130756]","[-0.008825381252946407, 0.0422401357423512, 0.027300865828941256, 0.02223154034083679, -0.02702200498106322, 0.05628716308063111, 0.0440529164145973]","[-0.001852338952269994, 0.001258161859210868, -0.0034983686260903757, -0.0006507764087753441, 0.008148604967600726, 0.002299369211330336, 0.6696034880245433]",0.004153638634027172,0.0084917825939104,0.6696034880245433,0.6150822043418884
4a474490d4f276864bc366b4,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[192, 200]",208,"[0.5600410808545636, 0.016121121898639644, 0.41812065231890894, -2.976289749145508, 0.16080690920352936, 1.0029926300048828, 0.713656393920674]","[-0.001852338952269994, 0.001258161859210868, -0.0034983686260903757, -0.0006507764087753441, 0.008148604967600726, 0.002299369211330336, 0.6696034880245433]","[4.821748489347577e-05, -0.001806483508034841, -8.370428076776015e-06, -0.00036061967392954407, 3.743019459245822e-05, -0.0032839629011902007, 0.2775330336161834]",0.0018071462737469556,0.0033039158441288785,0.2775330336161834,0.49363964796066284
a5ab039ba005882b5b6c936a,a587ce648368a914,data/folding/foldjacketsleeve_v1/run_0001,data/folding/foldjacketsleeve_v1/run_0001/episode.h5,"[0, 8]",16,"[0.7519088577096222, -0.05729196466500074, 0.3095520836282114, 2.9516701698303223, -0.23452840745449066, -0.2535165250301361, -1.0518466542208671e-08]","[-0.0009809570106469323, 0.00017140068905611983, -0.0029639095496149515, 0.0044028249041609055, 0.005077043324632768, 8.769511335461524e-05, 0.0]","[0.0029204581330044554, -0.00021294611952436815, -0.00981786661494588, 0.003522125648651728, -0.014193600090474545, 0.01168470586709141, 0.0]",0.010245239217574241,0.0187188675889769,0.0,0.4819765090942383
9df781f8b3eb4d903f0c931c,a587ce648368a914,data/folding/foldjacketsleeve_v1/run_0001,data/folding/foldjacketsleeve_v1/run_0001/episode.h5,"[8, 16]",24,"[0.7548293158426267, -0.05750491078452511, 0.2997342170132655, 2.958858013153076, -0.2473791092634201, -0.24352209270000458, -1.0518466542208671e-08]","[0.0029204581330044554, -0.00021294611952436815, -0.00981786661494588, 0.003522125648651728, -0.014193600090474545, 0.01168470586709141, 0.0]","[0.015969730679459504, -0.0052009487024270926, -0.03547325918577282, -0.07357665237581121, -0.044866439208176345, 0.06616196455896237, 0.0]",0.039248366623857917,0.1086458774935954,0.0,0.7339344620704651
f70253450d818c951b93f2b7,a587ce648368a914,data/folding/foldjacketsleeve_v1/run_0001,data/folding/foldjacketsleeve_v1/run_0001/episode.h5,"[16, 24]",32,"[0.7707990465220862, -0.0627058594869522, 0.2642609578274927, 2.895371437072754, -0.30818167328834534, -0.1615888476371765, -1.0518466542208671e-08]","[0.015969730679459504, -0.0052009487024270926, -0.03547325918577282, -0.07357665237581121, -0.044866439208176345, 0.06616196455896237, 0.0]","[0.01197061966438362, -0.014765935399748062, -0.04703638657379722, -0.022903784690157702, -0.022258614337755, 0.017471011409709056, 0.0]",0.05073214213197144,0.036404196256038926,0.0,0.7287392616271973
0ff013851a37089850d2762a,a587ce648368a914,data/folding/foldjacketsleeve_v1/run_0001,data/folding/foldjacketsleeve_v1/run_0001/episode.h5,"[24, 32]",40,"[0.7827696661864698, -0.07747179488670027, 0.2172245712536955, 2.875242233276367, -0.33377692103385925, -0.13802136480808258, -1.0518466542208671e-08]","[0.01197061966438362, -0.014765935399748062, -0.04703638657379722, -0.022903784690157702, -0.022258614337755, 0.017471011409709056, 0.0]","[0.009776351261553629, -0.004612236026734537, -0.027117066373725768, 0.004640703329122961, -0.0458550698901139, 0.016147652250454562, 0.0]",0.029192208787151376,0.048836157048008734,0.0,0.7225693464279175
10ba9a8f1c0f9f0ee401b9e0,a587ce648368a914,data/folding/foldjacketsleeve_v1/run_0001,data/folding/foldjacketsleeve_v1/run_0001/episode.h5,"[32, 40]",48,"[0.7925460174480234, -0.0820840309134348, 0.19010750487996972, 2.8869712352752686, -0.378536194562912, -0.12585796415805817, -1.0518466542208671e-08]","[0.009776351261553629, -0.004612236026734537, -0.027117066373725768, 0.004640703329122961, -0.0458550698901139, 0.016147652250454562, 0.0]","[0.0027361760819493153, -0.01169928343161844, -0.004941080909785067, -0.0017876617597064222, -0.009765216014237632, -0.011288003921883586, 0.321585904149448]",0.012991311439643638,0.015032438621604248,0.321585904149448,0.6535747647285461
28df0b75f4623943b8a36016,a587ce648368a914,data/folding/foldjacketsleeve_v1/run_0001,data/folding/foldjacketsleeve_v1/run_0001/episode.h5,"[40, 48]",56,"[0.7952821935299728, -0.09378331434505324, 0.18516642397018465, 2.8863794803619385, -0.3884485065937042, -0.13693328201770782, 0.32158589363098145]","[0.0027361760819493153, -0.01169928343161844, -0.004941080909785067, -0.0017876617597064222, -0.009765216014237632, -0.011288003921883586, 0.321585904149448]","[0.003062252877290339, 0.0025653787054742, 0.005666302608995838, 0.005795195957892399, -0.013068603108793875, 0.0029221215907904406, 0.6299559574793366]",0.0069329319803158665,0.01459148649031047,0.6299559574793366,0.5185003876686096
0ac420eba189235c1745c4b1,a587ce648368a914,data/folding/foldjacketsleeve_v1/run_0001,data/folding/foldjacketsleeve_v1/run_0001/episode.h5,"[48, 56]",64,"[0.7983444464072631, -0.09121793563957904, 0.1908327265791805, 2.8945508003234863, -0.40059205889701843, -0.13711413741111755, 0.9515418511103181]","[0.003062252877290339, 0.0025653787054742, 0.005666302608995838, 0.005795195957892399, -0.013068603108793875, 0.0029221215907904406, 0.6299559574793366]","[0.0007523813476071339, 0.0039928049823309275, 0.0027199019077343844, 0.008218865988379441, -0.0012659833746553328, 0.0026129566836698877, 0.004405284519581332]",0.0048894207946188215,0.008716651574462478,0.004405284519581332,0.4358367621898651
3a7b3590fd10034e7aaba13b,a587ce648368a914,data/folding/foldjacketsleeve_v1/run_0001,data/folding/foldjacketsleeve_v1/run_0001/episode.h5,"[56, 64]",72,"[0.7990968277548702, -0.08722513065724811, 0.19355262848691487, 2.903580904006958, -0.4007081389427185, -0.13801789283752441, 0.9559471356298994]","[0.0007523813476071339, 0.0039928049823309275, 0.0027199019077343844, 0.008218865988379441, -0.0012659833746553328, 0.0026129566836698877, 0.004405284519581332]","[-0.012394753303668349, 0.0011809490050805477, 0.036851774228499806, -0.014835790997061574, 0.15139416697396313, -0.05331872865948223, 0.0]",0.03889830091147582,0.16119299399822629,0.0,0.7450580596923828
